haberditzlgasse;60200454;16.4533631;48.2718456
haberlandtgasse;60200455;16.4899335;48.2188308
neulerchenfelder straße haberlgasse;60200456;16.3311563;48.2117017
habsburgergasse;60200457;16.3677986;48.207625
beingasse;60200458;16.3322792;48.1994046
hadersdorfer hauptstraße;60200459;16.2201784;48.2096903
hadersdorf;60200460;16.223583;48.2103788
oberzellergasse;60200461;16.3949636;48.1918656
stammersdorfer kellergasse;60200462;16.4033898;48.3073734
elfte haidequerstraße;60200463;16.4626876;48.1754844
siebente haidequerstraße;60200464;16.4423228;48.1791265
haidestraße;60200465;16.4266921;48.1795158
kaiserebersdorf, dreherstraße;60200466;16.4737009;48.1566051
eckpergasse;60200467;16.3165586;48.2333492
halteraugasse;60200468;16.3639358;48.251949
halterlacken;60200469;16.4613491;48.1601227
hans mandl berufsschule;60200470;16.3386033;48.1815284
empergergasse;60200471;16.4141786;48.2863071
hütteldorfer straße lützowgasse;60200472;16.2948913;48.197243
hardeggasse;60200473;16.4577918;48.2208897
hardtgasse;60200474;16.3490417;48.2370589
harrachgasse;60200475;16.4253267;48.2222124
hartlebengasse;60200476;16.4647447;48.2256656
haschafeld;60200477;16.4751832;48.2252048
haselbrunnerstraße;60200478;16.2511433;48.1372333
hasenleiten;60200479;16.4178706;48.1617585
haspelmeistergasse;60200482;16.2441634;48.2177534
haspingerplatz;60200483;16.4050966;48.277364
geiselbergstraße;60200484;16.4071897;48.1753886
deinleingasse;60200485;16.4439218;48.2218054
prater, hauptallee;60200486;16.4060668;48.2094389
hausfeldstraße;60200487;16.4870409;48.2335347
dreimarkstein;60200488;16.2874981;48.2584206
hawlicekgasse;60200489;16.4157147;48.2603165
heiligenstadt;60200491;16.3657773;48.2490958
heiligenstädter brücke;60200493;16.3679063;48.2438734
heinestraße;60200494;16.3823333;48.2222842
heinrich von buol gasse;60200495;16.4282282;48.26708
helferstorferstraße;60200498;16.365436;48.2139166
hellingstraße;60200499;16.4561119;48.1875058
dresdner straße;60200500;16.3795216;48.2369812
henriettenplatz;60200501;16.3319737;48.1901708
gersthof, herbeckstraße;60200502;16.3175019;48.2324636
heringgasse;60200503;16.5215901;48.2343186
speising, hermesstraße;60200504;16.2840217;48.1681995
hernals;60200505;16.3148788;48.2232358
herrengasse;60200506;16.3658492;48.2094868
hernalser gürtel;60200507;16.340903;48.2151796
hernals, wattgasse;60200508;16.3213107;48.2215181
hertlgasse;60200509;16.2804643;48.2152514
herzgasse;60200510;16.3659301;48.1724172
hetzendorf;60200511;16.3144207;48.1660846
freudenauer hafenstraße;60200512;16.4653466;48.1830857
hetzgasse;60200513;16.3929334;48.2083972
heuberg;60200514;16.2834108;48.2260426
heuberggasse;60200515;16.2975683;48.2286997
heudörfelgasse;60200516;16.2640342;48.1532611
schönbrunner straße kettenbrückengasse;60200517;16.3609893;48.1949376
hietzing;60200520;16.3038655;48.1877933
obere waldandacht;60200521;16.2735922;48.2530436
hillerstraße;60200523;16.4077826;48.2211291
himberger straße;60200524;16.3826387;48.1433237
himmelmutterweg;60200525;16.2960411;48.2306625
himmelstraße;60200526;16.3374804;48.2572364
hintere zollamtsstraße;60200527;16.3870584;48.211157
am krautgarten;60200528;16.4611874;48.2347972
hirschengasse;60200529;16.3491585;48.1930932
hirschstetten ort;60200530;16.4662449;48.2348272
blumengärten hirschstetten;60200531;16.4717067;48.2358743
hirschstetten;60200532;16.4682392;48.2326611
fuchsienweg;60200533;16.4926284;48.2585223
hütteldorfer straße hochsatzengasse;60200534;16.2774011;48.1980095
hoefftgasse;60200535;16.4681494;48.1560298
hoferstiege;60200536;16.2717956;48.1390916
hofherr schrantz gasse;60200537;16.3716793;48.2829835
hofmannsthalgasse;60200538;16.3999133;48.1850682
hofwiesengasse;60200539;16.2872287;48.1701586
hohe warte;60200540;16.3551143;48.2510458
hohe wand wiese;60200541;16.2016372;48.2296153
hohenbergstraße;60200542;16.3259191;48.1741485
hohenfelsplatz;60200543;16.3166036;48.1741186
hoher markt;60200544;16.3720566;48.2112707
hollergasse;60200545;16.3245896;48.186314
kollarzgasse;60200546;16.425668;48.2854583
holubstraße;60200547;16.3945594;48.2318054
hopfengasse;60200548;16.3917387;48.2691967
horeischygasse;60200549;16.2767273;48.183493
hosnedlgasse;60200550;16.4617983;48.2549816
hoßplatz;60200551;16.4078454;48.2550055
hubermanngasse;60200552;16.3320726;48.1412617
hubert gsur gasse;60200553;16.3889808;48.1463267
hubertusdamm;60200554;16.3921878;48.2507647
huflattichweg;60200555;16.5310135;48.2470799
huglgasse;60200556;16.3251915;48.1979256
hugo wolf park;60200557;16.3329349;48.2388659
unter sankt veit, hummelgasse;60200558;16.2818657;48.1856791
husarenweg;60200559;16.4648076;48.2027097
hütteldorf;60200560;16.2610697;48.1973867
pelargonienweg;60200561;16.4956198;48.2566563
hütteldorfer friedhof;60200562;16.2446485;48.2043082
hüttenbrennergasse;60200563;16.3948019;48.1760894
hüttergasse;60200564;16.2270146;48.2132342
hämmerlegasse;60200565;16.3942719;48.1388219
hänflingweg;60200566;16.2575393;48.2182861
hänischgasse;60200567;16.5429521;48.2318772
häußlergasse;60200568;16.4395829;48.2381957
höchstädtplatz;60200569;16.3769075;48.2392428
hödlgasse;60200570;16.2954752;48.1491797
hörtengasse;60200571;16.4444967;48.1623937
senekowitschgasse;60200572;16.4589057;48.254222
illgasse;60200574;16.4479193;48.287933
liesing industriegelände süd;60200575;16.3022575;48.128432
industriegelände liesing west;60200576;16.2980264;48.1331026
innocentiagasse;60200577;16.2624531;48.1905421
innstraße;60200578;16.38678;48.2305189
invalidensiedlung;60200579;16.5360979;48.2614946
inzersdorf friedhof;60200580;16.3500029;48.1477952
inzersdorf, großmarkt;60200581;16.3578093;48.1356805
blumental;60200582;16.3692448;48.1388279
hosnedlgasse lieblgasse;60200584;16.4634062;48.2574158
inzersdorf lokalbahn;60200585;16.3344082;48.1499528
inzersdorf, zetschegasse;60200586;16.3303747;48.138714
lafnitzgasse;60200587;16.4563814;48.2815309
oleandergasse;60200588;16.4977668;48.2551909
jagdschloßgasse;60200589;16.2836264;48.1771377
jedlersdorf;60200591;16.396886;48.2731789
obachgasse;60200592;16.4647897;48.26046
trillergasse;60200593;16.4031832;48.2738486
jeneweingasse;60200594;16.3852259;48.2659916
jenbachgasse;60200595;16.2662799;48.1668215
scheedgasse;60200596;16.4875709;48.240571
joachimsthalerplatz;60200597;16.3049255;48.2088462
großjedlersdorf, jochbergengasse;60200598;16.4007488;48.2799766
jochen rindt straße;60200599;16.3542879;48.1461589
johann friedl gasse;60200600;16.4074592;48.1370714
johannes krawarik gasse;60200601;16.3086804;48.2137909
johann nepomuk berger platz;60200602;16.325461;48.2131025
johann strauß gasse;60200604;16.3661097;48.1899133
kirsteweg;60200605;16.4183468;48.1323712
johnstraße;60200606;16.3196399;48.1976741
